show_id,type,title,director,cast,country,date_added,release_year,rating,duration,description,year_added,month_added,genre,ISO
s1,Movie,dick johnson is dead,kirsten johnson,unknown,United States,2021-09-25,2020,PG-13,90 min,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",2021,September,Documentaries,USA
s2,TV Show,blood & water,unknown,"ama qamata, khosi ngema, gail mabalane, thabang molaba, dillon windvogel, natasha thahane, arno greeff, xolile tshabalala, getmore sithole, cindy mahlangu, ryle de morny, greteli fincham, sello maake ka-ncube, odwa gwanya, mekaila mathys, sandi schultz, duane williams, shamilla miller, patrick mofokeng",South Africa,2021-09-24,2021,TV-MA,2 Seasons,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",2021,September,International TV Shows,ZAF
s3,TV Show,ganglands,julien leclercq,"sami bouajila, tracy gotoas, samuel jouy, nabiha akkari, sofia lesaffre, salim kechiouche, noureddine farihi, geert van rampelberg, bakary diombera",Unknown,2021-09-24,2021,TV-MA,1 Season,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",2021,September,Crime TV Shows,Unknown
s4,TV Show,jailbirds new orleans,unknown,unknown,Unknown,2021-09-24,2021,TV-MA,1 Season,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",2021,September,Docuseries,Unknown
s5,TV Show,kota factory,unknown,"mayur more, jitendra kumar, ranjan raj, alam khan, ahsaas channa, revathi pillai, urvi singh, arun kumar",India,2021-09-24,2021,TV-MA,2 Seasons,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",2021,September,International TV Shows,IND
s6,TV Show,midnight mass,mike flanagan,"kate siegel, zach gilford, hamish linklater, henry thomas, kristin lehman, samantha sloyan, igby rigney, rahul kohli, annarah cymone, annabeth gish, alex essoe, rahul abburi, matt biedel, michael trucco, crystal balint, louis oliver",Unknown,2021-09-24,2021,TV-MA,1 Season,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",2021,September,TV Dramas,Unknown
s7,Movie,my little pony: a new generation,"robert cullen, josé luis ucha","vanessa hudgens, kimiko glenn, james marsden, sofia carson, liza koshy, ken jeong, elizabeth perkins, jane krakowski, michael mckean, phil lamarr",Unknown,2021-09-24,2021,PG,91 min,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",2021,September,Children & Family Movies,Unknown
s8,Movie,sankofa,haile gerima,"kofi ghanaba, oyafunmike ogunlano, alexandra duah, nick medley, mutabaruka, afemo omilami, reggie carter, mzuri",United States,2021-09-24,1993,TV-MA,125 min,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",2021,September,Dramas,USA
s9,TV Show,the great british baking show,andy devonshire,"mel giedroyc, sue perkins, mary berry, paul hollywood",United Kingdom,2021-09-24,2021,TV-14,9 Seasons,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",2021,September,British TV Shows,GBR
s10,Movie,the starling,theodore melfi,"melissa mccarthy, chris o'dowd, kevin kline, timothy olyphant, daveed diggs, skyler gisondo, laura harrier, rosalind chao, kimberly quinn, loretta devine, ravi kapoor",United States,2021-09-24,2021,PG-13,104 min,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2021,September,Comedies,USA
s11,TV Show,"vendetta: truth, lies and the mafia",unknown,unknown,Unknown,2021-09-24,2021,TV-MA,1 Season,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",2021,September,Crime TV Shows,Unknown
s12,TV Show,bangkok breaking,kongkiat komesiri,"sukollawat kanarot, sushar manaying, pavarit mongkolpisit, sahajak boonthanakit, suthipongse thatphithakkul, bhasaworn bawronkirati, daweerit chullasapya, waratthaya wongchayaporn, kittiphoom wongpentak, abhicha thanachanun, nophand boonyai, kittipong khamsat, arisara wongchalee, jaytiya naiwattanakul, pantipa arunwattanachai, panupan jantanawong, kungtap saelim, phumphat chartsuriyakiat, issara veranitinunt, keerati sivakuae, panjai sirisuwan, supranee charoenpol, suda chuenban, visaka banhansupavat, pitchatorn santinatornkul",Unknown,2021-09-23,2021,TV-MA,1 Season,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",2021,September,Crime TV Shows,Unknown
s13,Movie,je suis karl,christian schwochow,"luna wedler, jannis niewöhner, milan peschel, edin hasanović, anna fialová, marlon boess, victor boccard, fleur geffrier, aziz dyab, mélanie fouché, elizaveta maximová",Germany,2021-09-23,2021,TV-MA,127 min,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2021,September,Dramas,DEU
s14,Movie,confessions of an invisible girl,bruno garotti,"klara castanho, lucca picon, júlia gomes, marcus bessa, kiria malheiros, fernanda concon, gabriel lima, caio cabral, leonardo cidade, jade cardozo",Unknown,2021-09-22,2021,TV-PG,91 min,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",2021,September,Children & Family Movies,Unknown
